name,latitude,longitude,color
Lelepa [lpa],-17.64,168.18,#BA7D72
Lenakel [tnl],-19.583,169.083,#BA7D72
Lepcha [lep],27,88.2,#45A494
Leti [lti],-8.167,128.167,#BA679A
Lewo [lww],-16.667,168.333,#BA679A
Lezgian [lez],41.58,47.78,#27974E
Lhasa_Tibetan [bod],29.65,91.14,#37C1A0
Lhomi [lhm],27.75,87.4,#37C1A0
Liko [kbo],3.75,30.5,#BC5B5B
Limbu [lif],27.167,87.75,#425991
Limilngan [lmc],-12.5,131.917,#6862AB
Linda [liy],6,21,#BA7D72
Lingala [lin],1,18.5,#BA7D72
Lisu [lis],19.5,98.75,#91CC88
Lithuanian [lit],54.9,23.9,#668D13
Logba [lgq],6.9,0.45,#BA7D72
Lokono [arw-2],6.07,-57.6,#673CA3
Longgu [lgu],-9.75,160.75,#CD857F
Loniu [los],-2.1,147.417,#BA679A
Lote [uvl],-5.6,151.9,#BA679A
Lozi [loz],-15,23,#BC5B5B
Lü [khb],22,100.67,#DDD483
Luangiua [ojv],-5.417,159.65,#CD857F
LuGanda [lug],0.5,32.17,#BC5B5B
Luo [luo],-0.4,34.4,#BA7D72
Lushootseed [lut],48,-122,#99415A
Luvale [lue],-12,22,#BC5B5B
Ma'ya [slz],-1.25,130.92,#BA679A
Maanyan [mhy],-2,115,#CD857F
Maasai [mas],-3,36,#BA7D72
Maba [mde],13.75,20.83,#625EA1
Macedonian [mkd],41.6,22,#668D13
Macushi [mbc],4.5,-60,#407778
Madi [mhi],3.45,31.17,#BA679A
Madimadi [xxx-18],-34.5,143.5,#53A0A8
Madurese [mad],-7.25,113.333,#CD857F
Magahi [mag],25,85,#27974E
Magar [mgp],28,83,#45A494
Mahali [mjx],22.85,87.1,#407778
MaiBrat [ayz],-1.25,132.667,#BA679A
Maidu [nmu],40,-120.67,#407778
Mairasi [zrs],-3.5,134,#625EA1
Maisin [mbq],-9.5,149.167,#625EA1
Maithili [mai],26.5,86,#27974E
Majhi [mjz],27.25,86.15,#27974E
Mak [mkg],26,107.75,#DDD483
Makah [myh],48.33,-124.67,#99415A
Makasai [mkz],-8.5,126.5,#8C9CA1
Makassar [mak],-5.417,119.583,#CD857F
Makhuwa-Enehara [vmw],-15,39,#BC5B5B
Mako [wpc],4.215,-65.742,#673CA3
Makua [vmw],-15,38,#BC5B5B
Malagasy [bhr],-20,47,#CD857F
MalakMalak [mpb],-13.417,130.417,#6862AB
Malay [zlm],3.13,101.68,#CD857F
Malayalam [mal],8.5,77,#27974E
Malgana [vml],-26,115,#53A0A8
Mali [gcc],-4.833,152.25,#BA679A
Malto [kmj],25,87.333,#27974E
Mam [mvc],15.25,-92,#99415A
Mamainde [wmd],-13.5,-60,#673CA3
Mamanwa [mmn],9.417,125.5,#CD857F
Mambai [mgm],-8.75,125.42,#BA679A
Mambwe [mgr],-9,31,#BC5B5B
Manadonese [xmm],1.5,124.833,#CD857F
Manam [mva],-4.083,145.083,#BA679A
Manange [nmm],28.667,84.08,#37C1A0
Manchu [mnc],45,125,#407778
Mandan [mhq],46,-100,#673CA3
Mandarin_Beijing [cmn],40,116.75,#91CC88
Mandinka [man],13,-15.67,#91CC88
Mandinka_Gambia [mnk],13,-15,#8C9CA1
Manggarai [mqy],-8.667,120.333,#DDD483
Manggarayi [mpc],-14.667,133.5,#6862AB
Maninka [emk],13,-10,#91CC88
Manobo_Western Bukidnon [mbb],7.667,124.833,#CD857F
Mansi [mns],62,62,#407778
Manx [glv],56.2,-4.5,#8C542B
Maonan [mmd],25,108.5,#DDD483
Maori [mri],-39,176.5,#CD857F
Mapudungun [arn],-36,-72,#7D4884
Mara [mec],-15.1,135.2,#6862AB
Marathi [mar],18,74.5,#27974E
Margany [zmc],-26.5,145,#53A0A8
Margi [mrt],11,13,#BA7D72
Maricopa [mrc],33.17,-113.17,#673CA3
Marind [mrz],-8,140.5,#7D4884
Marquesan_Ua Pou [mrq],-9.33,-140,#CD857F
Marshallese [mah],12.5,162.5,#CD857F
Martuthunira [vma],-21,116.5,#53A0A8
Matbat [xmt],-2,130.33,#BA679A
Matengo [mgv],-11,34.67,#BC5B5B
Matngele [zml],-13.833,130.417,#6862AB
Maung [mph],-11.917,133.5,#6862AB
Maxakali [mbl],-18,-40,#7D4884
Mbabaram [vmb],-16.85,144.8,#53A0A8
Mbaham [bdw],-3,132.5,#625EA1
Mehri [gdq],16,52,#8C542B
Meitei [mni],24.75,94,#45A494
Mekeo [mek],-8.5,146.467,#625EA1
Melanau [mel],4.4,114,#CD857F
Memba [tsj-2],29,94.8,#37C1A0
Mende [men],8,-11.5,#BA679A
Menya [mcr],-7.25,146,#673CA3
Meryam Mir [ulk],-9.92,144.08,#407778
Meteq [xem],0.7,110.5,#CD857F
Meyah [mej],-1,133.667,#BA679A
Mian [mpt],-4.667,141.25,#625EA1
Mien [ium-6],24.583,112.267,#DDD483
Mien_Yao [ium],20.833,101.167,#DDD483
Miji [sjl],27.54,92.6,#45A494
Miju [mxj],28,97,#45A494
Milang [xxx-122],28.6,94.5,#45A494
Mina [gej],6.6,1.5,#BA7D72
Minangkabau [min],0,100.167,#CD857F
Miriwung [mep],-15.667,129,#6862AB
Mising [mrg],27.5,94.3,#45A494
Miwok [skd],37.5,-120,#7D4884
Mixtec [mim],17,-99,#BA7D72
Miya [mkf],11,10,#BA7D72
Mizo [lus],23.167,92.833,#91CC88
Mlabri [mra],18.833,101,#DDD483
Mnar [pbv-2],25.9,91.58,#BA7D72
Moghol [mhj],35,62,#27974E
Mohave [mov],34.67,-114.58,#673CA3
Moken [mwt],11,98.5,#DDD483
Mokilese [mkj],6.667,159.75,#CD857F
Momu [fqs],-3.167,141.667,#625EA1
Mon [mnw],15,100,#DDD483
Mongguor [mjg],36,102,#27974E
Mongolian [mon],50,105,#27974E
Moni [mnz],-3.583,136.833,#425991
Mono [mnr],38,-119,#7D4884
Montagnais [moe],52,-65,#7D4884
Mor [mhz],-2.917,135.75,#BA679A
Mor [moq],-2.833,132.75,#BA679A
Motu [meu],-9.5,147.25,#BA679A
Motuna [siw],-6.617,155.417,#625EA1
Mpur [akc],-0.833,133,#BA679A
Mru [mro-2],21.45,92.5,#91CC88
Muak Sa-aak [ukk],21.183,100.367,#DDD483
Mualang [mtd],0.8,111,#CD857F
Mudukumo [bwm],-4.367,143.867,#407778
Muk-Thang [xxx-95],-37.75,149,#6862AB
Mulao [mlm],24.25,109,#DDD483
Muna [mnb-2],-5,122.417,#CD857F
Mundang [mua],10.1,14.45,#BA7D72
Mundari [unr],24,86.167,#407778
Murinbata [mwf],-14.667,129.667,#6862AB
Murle [mur],6,33.75,#BA7D72
Muruwari [zmu],-29,146.75,#53A0A8
Mussau [emi],-1.5,149.667,#CD857F
Mustang [loy],29.18,83.96,#37C1A0
Mutsun [css-2],36.83,-121.5,#7D4884
Mwani [wmw],-12.15,40.57,#BC5B5B
Mwera [mwe],-10,39,#BC5B5B
Mwotlap [mlv],-13.7,167.63,#BA679A
Na [nbf-2],27.2,101,#91CC88
Nahali [nlx],24,77.5,#45A494
Nahavaq [sns],-16.53,167.123,#BA679A
Nakanai [nak],-5.5,150.833,#BA7D72
Nakkara [nck],-12.117,134.417,#6862AB
Nama [naq],-23.5,22,#7D4884
Namakir [nmk],-17,168.583,#BA679A
Nanchang [gan],28.7,115.9,#91CC88
Nancowry [ncb],8,93.5,#CD857F
Nandi [kln],0.25,35,#BA7D72
Nar_Phu [npa],28.68,84.2,#37C1A0
Nasioi [nas],-6.333,155.583,#625EA1
Navajo [nav],36.17,-108,#7D4884
Ndebele [nbl],-20,28.5,#BC5B5B
Ndjébbana [djj],-12.167,134.117,#6862AB
Ndonga [ndo],-18,17,#BC5B5B
Nen [nqn],-8.6,142.1,#625EA1
Nenets [yrk],70,76,#407778
Neo-Aramaic [trg],36.2,43.75,#8C542B
Nepali [nep],28.72,82,#27974E
Nepali_hill [nep-2],28,84.33,#45A494
Nevome [ood-2],19,-98.25,#7D4884
Newar_Kathmandu [new],27.5,85.333,#45A494
Newari_Dolakha [new-2],27.58,86.667,#37C1A0
Nez Perce [nez],46,-117,#7D4884
Ngaanyatjarra [ntj],-27.5,126,#6862AB
Ngadha [nxg],-8.833,121,#DDD483
Ngadjunmaya [nju],-32,123.5,#53A0A8
Ngalakgan [nig],-14.5,134.833,#6862AB
Nganasan [nio],71,93,#407778
Ngandi [nid],-13.5,135,#6862AB
Ngankikurungkurr [nam-2],-14,130.5,#6862AB
Ngarinyeri [nay],-35.6,139.1,#6862AB
Ngarinyin [ung],-16.25,126.5,#6862AB
Ngarla [nlr],-20.33,119.5,#53A0A8
Ngawun [nxn],-19.5,141.5,#53A0A8
Ngbaka [nga],4.25,21.17,#BA7D72
Ngiti [niy],1.33,30.25,#7D4884
Ngiyambaa [wyb],-31.75,145.5,#53A0A8
Nguna [llp],-17.5,168.333,#BA679A
Ngwe [nwe ],5.488,9.856,#BA7D72
Nhanda [nha],-27.5,114.75,#53A0A8
Nias [nia],1,97.5,#CD857F
Nimboran [nir],-3.083,140.167,#625EA1
Nisenan [nsz],39.33,-120.83,#407778
Nisgha [ncg],55,-130,#99415A
Nishi [dap],27.7,94.2,#45A494
Niue [niu],-19,-169.5,#CD857F
Nivkh [niv],53.333,142,#45A494
Nkore-Kiga [cgg],-0.92,29.83,#BC5B5B
Nobiin [fia],21,31,#425991
Nonthaburi Malay [xxx-20],13.92,100.4,#DDD483
Norwegian [nob],62,8,#668D13
Nuaulu [nxl],-3.25,129.083,#BA679A
Nubi [kcn],0.6,32.55,#BA7D72
Nubian [kzh],12.5,31,#407778
Nubri [kte],28.64,84.61,#37C1A0
Nubri_lower [kte-2],28.53,84.79,#37C1A0
Nung [nut],21.917,106.5,#DDD483
Nunggubuyu [nuy],-13.75,135.667,#6862AB
Nyaheun [nev],15,107,#DDD483
Nyahkur [cbn],15.67,101.67,#DDD483
Nyangumarta [nna],-20,121,#6862AB
Nyawaygi [nyt],-19,145.9,#53A0A8
Nyoro [nyo],1.5,31,#BC5B5B
Nyulnyul [nyv],-17,123,#6862AB
Nyungar [nys],-33.75,116,#53A0A8
Nzadi [xxx-48],-4.05,19.65,#BA7D72
O'odham [ood],32,-112,#99415A
Obokwi [afz],-2.767,138,#8C9CA1
Ogami [mvi],24.9,125.3,#407778
Oirata [oia],-8.083,127.167,#8C9CA1
Ojibwe [ojg],49,-92.5,#99415A
Olekha [ole],27.2,90,#37C1A0
Olo [ong],-3.25,142.167,#BA679A
Omaha [oma],42,-97.25,#7D4884
One [aun],-3.417,141.833,#625EA1
Oneida [one],43,-75.67,#7D4884
Ong Be [onb],19.8,110,#DDD483
Onge [oon],10.75,92.5,#625EA1
Onin [oni],-2.833,132.083,#BA679A
Oraon [kru],25.75,88.75,#27974E
Ordos [mvf],39,109,#27974E
Oriya [ori],21,85,#27974E
Ormuri_Khaniguram [oru-2],32.52,70,#668D13
Ormuri_Logar [oru],33.25,69.5,#27974E
Oromo [hae],9,37,#BA7D72
Osage [osa],37,-94,#673CA3
Ossetian [oss],42.24,44,#27974E
Ostyak [kca-2],61,75,#407778
Otomi [otm],21,-99.5,#99415A
P'urhépecha [tsz],19,-102,#407778
Paamese [pma],-16.5,168.333,#BA679A
Pacoh [pac],16.42,107.08,#DDD483
Paez [pbb],3,-76,#407778
Pagu [pgu],1.1,127.7,#BA679A
Paiute_Northern [pao],40.75,-118,#7D4884
Paiwan [pwn],22.333,120.833,#CD857F
Palauan [pau],7.167,134.5,#CD857F
Palaung [plw],22.667,96.4,#DDD483
Palawan [plc],9.5,118.5,#CD857F
Palue [ple],-8.333,121.75,#DDD483
Palula [phl],35.4,71.75,#27974E
Panare [pbh],6.733122,-66.048767,#7D4884
Pangasinan [pag],15.917,120.333,#CD857F
Panyjima [pnw],-22.833,118,#53A0A8
Pare [asa],-4,36.5,#BC5B5B
Pashto [pst],35,65,#27974E
Passamaquoddy-Maliseet [pqm],45,-67,#99415A
Pattani [lae],32.6,77.2,#45A494
Paulohi [plh],-3.3,128.8,#BA679A
Paumarí [pad],-7,-64.5,#7D4884
Pawaian [pwa],-7,145.25,#625EA1
Pech [pay],15,-85.5,#425991
Pendau [ums],0,119.83,#CD857F
Pima Bajo [pia],29,-111,#407778
Pingjiang [gan-6],28.76,113.67,#91CC88
Pipil [ppl],13.85,-89.55,#99415A
Pirahã [myp],-7.33,-62,#625EA1
Pitjantjatjara [pjt],-26.833,130,#6862AB
Pitta-Pitta [pit],-23.5,121,#53A0A8
Pitu Ulunna Salu [ptu],-3.083,119.083,#CD857F
Plang [blr-2],23.4,100.1,#DDD483
Pnar [pbv],25,92.5,#BA7D72
Polish [pol],52,20,#668D13
Pomo_Eastern [peb],39,-122.67,#45A494
Pomo_Southeastern [pom],38.83,-122.5,#407778
Ponapean [pon],6.883,158.25,#CD857F
Portuguese [por],39,-8,#668D13
Pulaar [fuc],15.6,-15.2,#BC5B5B
Puluwat [puw],7.333,149.333,#CD857F
Pumi [pmi],28,101,#45A494
Punjabi [pan],31,75,#27974E
Purik [prx],34.55,76.15,#37C1A0
Puroik [suv],28,93,#45A494
Puxi [jih],32.25,101.95,#45A494
Puyuma [pyu],22.833,121.083,#CD857F
Qiandong_Hmong [hmq],26.67,108.32,#DDD483
Qiang [qxs],32,103.5,#45A494
Quechan [yum],32.83,-114.33,#673CA3
Quechua_Cusco  [quz],-13.5,-72,#407778
Quechua_Huallaga [qvh],-6,-76,#407778
Quechua_Imbabura [qvi],0.33,-78.33,#407778
Quechua_Yauyos [qvi-2],-12.62,-75.7,#407778
Quileute [qui],47.925,-124.25,#99415A
Rabha [rah],26.1,90.25,#45A494
Rajasthani [raj],26.57,73.83,#27974E
Rajbangshi [rkt],26.5,88.5,#27974E
Raji [rji],29,81.15,#45A494
Rama [rma],11.5,-83.9,#625EA1
Rana_Tharu [thr],28.68,80.6,#27974E
Rapa_Nui [rap],-27.333,-110,#CD857F
Ratahan [rth-2],1.08,124.83,#CD857F
Raute [rau],28.6,81.5,#407778
Rawang [raw],27.5,97.5,#91CC88
Remo [bfw],18.333,82.333,#45A494
Rennellese [mnv],-11.85,160.33,#CD857F
Rgyalthang [khg-7],27.833,99.7,#37C1A0
Riff [rif],34,-3.75,#8C542B
Ritharngu [rit],-12.833,135.5,#6862AB
Rohingya [rhg],20.82,92.37,#27974E
Roma [rmm],-7.2,128.583,#BA679A
Romanian [ron],45,27,#668D13
Romansh [roh],46.8,9.4,#668D13
Ronga [rng],-26,32.5,#BC5B5B
Rongpo [rnp],30.9167,79.5,#45A494
Roro [rro],-8.75,146.58,#BA679A
Rote [twu],-10.75,123.25,#BA7D72
Rotokas [roo],-6,155.17,#625EA1
Rotuman [rtm],-12.333,177,#BA7D72
Rukai [dru],22.833,120.833,#CD857F
Runyankore [nyn],-0.5,30.5,#BC5B5B
Russian [rus],55,38,#668D13
Saa [apb],-9.5,161.583,#BA7D72
Sabanê [sae],-12,-60,#673CA3
Sadu [xxx-63],24.35,102.525,#91CC88
Sahu [saj],1,127.417,#BA7D72
Saliba [sbe],-10.667,150.75,#BA679A
Salinan [sln],36,-121,#99415A
SaltYui [sll],-6.283,145,#625EA1
Sami [sme],70,28,#27974E
Samoan [smo],-14,-172.667,#CD857F
Sandawe [sad],-5,35,#425991
Sangir [sxn],3.58,125.75,#CD857F
Sango [sag],5,18,#BA7D72
Santa [sce],35.65,103.4,#407778
Santali [sat],24.5,87,#407778
Sanuma [xsu],4,-64,#8C9CA1
Saptariya Tharu [thq],26.6,86.7,#27974E
Sapuan [spu],15.333,106.833,#DDD483
Sarcee [srs],52.5,-116,#7D4884
Sardinian [sro],40,9,#668D13
Sartang [onp],27.33,92.27,#37C1A0
Sasak [sas],-8.67,116.5,#CD857F
Sauria Paharia [mjt],24.3,88.9,#27974E
Savosavo [svs],-9.167,159.833,#625EA1
Sawu [hvn],-10.5,122,#CD857F
Scots English [sco],56,-3.25,#668D13
Scots Gaelic [gla],57,-5,#8C542B
Sedang [sed],14.667,108,#DDD483
Seediq [trv],24.167,121.417,#CD857F
Sekar [skz],-2.7,132.43,#BA679A
Seke [skj],29,83.91,#37C1A0
Selaru [slu],-8.25,130.917,#BA679A
Selknam [ona],-54.45,-67.15,#7D4884
Selkup [sel],65,82,#407778
Semelai [sza],3,102.5,#CD857F
Sentani [set],-2.583,140.633,#625EA1
Serbian [srp],45,20,#668D13
Seri [sei],29,-112.5,#673CA3
Serrano [ser],34.33,-117,#407778
Sesotho [sot],-28,27,#BC5B5B
Shan [shn],22,98,#DDD483
Shanghai [wuu],31,121,#91CC88
Shasta [sht],41.83,-122.67,#7D4884
Shawnee [sjw],40,-83,#7D4884
She [shx],23.04,114.93,#91CC88
Sheko [she],7,35.5,#45A494
Sherdukpen [sdp],27.2,92.4,#37C1A0
Sherpa [xsr],27.833,86.833,#37C1A0
Sherpa_Hile [xsr-2],27.675,86.71,#37C1A0
Shigatse [bod-6],29.26,88.88,#37C1A0
Shina [scl],36,74,#27974E
Shipibo [shp],-7,-75,#407778
Shona [sna],-18,31,#BC5B5B
Shoshone [shh],41,-115.5,#407778
Shuswap [shs],52,-120,#99415A
Siane [snp],-6.05,145.25,#625EA1
Siberian Yupik [ess],65,-175,#425991
Sierra Popoluca [poi],18.23,-94.87,#7D4884
Sika [ski],-8.62,122.22,#BA679A
Sinaugoro [snc],-9.833,147.917,#BA679A
Sindhi [snd],26,69,#27974E
Sinhalese [sin],7,81,#27974E
Siroi [ssd],-5.5,146,#625EA1
Sisiqa [bbq],-7.133,157,#CD857F
SiSwati [ssw],-27,32,#BC5B5B
Siuslaw [sis],44,-124,#7D4884
Skou [skv],-2.667,140.917,#BA679A
Slave [xsl],60,-120,#7D4884
Slovene [slv],46,14.5,#668D13
Sm'algyax [tsi],52.5,-129,#99415A
So [teu],2.5,34.75,#CD857F
So [xxx-60],17.333,104.333,#DDD483
Sobei [sob],-1.917,138.75,#BA679A
Soboyo [tlv],-1.83,124.92,#BA7D72
Solega [sle],12.2,76.5,#407778
Somali [som],7,47,#7D4884
Soninke [snk],13.25,-14.25,#8C9CA1
Sonsorol [sov],4.5,132.083,#CD857F
Soqotri [sqt],12.5,54,#8C542B
Sora [srb],20,84.333,#407778
Sorbian [dsb],52,13.75,#668D13
Sotho_South [sot-2],-30,28,#BC5B5B
Sougb [mnx],-1.5,134,#BA679A
Souw Amana Teru [tlu],-3.58,128.3,#BA679A
Spanish [spa],41.65,-4.75,#668D13
Spanish_spoken [spa-2],39,-3,#668D13
Spiti [bod-2],32.75,77.75,#27974E
Squamish [squ],49.67,-123.17,#99415A
Sre [kpm],11.5,108,#DDD483
Stieng [sti],12,107,#DDD483
Sudest [tgo],-11.5,153.5,#BA679A
Suena [sue],-7.75,147.5,#625EA1
Sui [swi],26.25,107.5,#DDD483
Sukuma [suk],-3.234,33.516,#BC5B5B
Sula [szn],-2.06,125.98,#BA679A
Sulka [sua],-5.083,152,#BA679A
Sumbawa [smw],-8.583,117.5,#CD857F
Sundanese [sun],-7,107.5,#CD857F
Sunwar [suz],27.6,86.3,#45A494
Supyire [spp],11.5,-5.58,#BA7D72
Surin Khmer [kxm],15,103.75,#DDD483
Swahili [swh],-6.5,39,#BC5B5B
Swedish [swe],60,15,#668D13
Taba [mky],0.333,127.583,#BA679A
Tabla [tnm],-2.417,140.333,#625EA1
Tadaksahak [dsq],16.58,2.83,#BC5B5B
Tafi [tcd],6.8,0.4,#BA7D72
Tagalog [tgl],14.75,121,#CD857F
Tagbanwa_Aborlan [tbw],9,118,#CD857F
Tahitian [tah],-17.667,-149,#CD857F
Tai Aiton [aio],26.95,94.67,#DDD483
Tairora [tbg],-6.583,145.917,#425991
Tajik [tgk],38.667,70,#668D13
Takelma [tkm],42.5,-123,#673CA3
Takia [tbc],-4.75,146,#BA679A
Talaud [tld],4,126.67,#CD857F
Talysh [tly],39,48.85,#27974E
Tamambo [mla],-15.7,167.2,#BA7D72
Tamang [tge],27.67,85.5,#37C1A0
Tamang_Eastern [taj],27.6,85.75,#45A494
Tamang_Western [tdg],27.98,85.17,#45A494
Tamazight [tzm],33,-4,#8C542B
Tamil [tam],13,79,#407778
Tanacross [tcb],63.5,-143.5,#7D4884
Tanglapui [tpg],-8.3,125,#BA679A
Tarahumara [tar],27.5,-107.5,#7D4884
Taraon [tro],28.2,96.25,#37C1A0
Tariana [tae],0.3,-69.7,#425991
Tashelhiyt [shi],31,-5,#8C542B
Tatana [txx],5.5,115.5,#CD857F
Tatar [tat],56,49.5,#27974E
Tause [tad],-2.833,137,#8C9CA1
Tausug [tsg],6,121,#CD857F
Tauya [tya],-5.75,145.3,#625EA1
Tawala [tbo],-10.333,150.5,#BA679A
Tboli [tbl],6.167,124.5,#CD857F
Tehit Imyan [kps-2],-1.75,132.167,#BA679A
Teiwa [twe],-8.333,124.2,#BA679A
Telugu [tel],16,79.5,#27974E
Temiar [tea],4.833,101.333,#CD857F
Temne [tem],8.67,-13.08,#BA7D72
Tengger [tes],-7.95,112.95,#CD857F
Teop [tio],-5.667,155.083,#CD857F
Tepehuan_Huehuetla [tee],20.476,-98.09,#99415A
Tera [ttr],11,11.83,#BA7D72
Terêna [ter],-20,-56,#7D4884
Ternate [tft],0.833,127.333,#BA7D72
Ternate Malay [max],0.786,127.377,#DDD483
Tetun [tet],-9.333,125.083,#BA7D72
Thai [tha],15.583,100.333,#DDD483
Thai_Northern [nod],18,99,#DDD483
Thakali [ths],28.75,83.69,#37C1A0
Thangmi [thf],27.75,86,#45A494
Tharrkari [dhr],-23.6,115.7,#53A0A8
Themchen [adx-2],36.6,101.75,#37C1A0
Thulung [tdh],27.6,86.75,#425991
Tidore [tvo],0,127.75,#BA679A
Tigak [tgc],-2.75,150.917,#BA7D72
Tigré [tig],16.5,38.5,#8C542B
Tigrinya [tir],14.5,38.5,#425991
Timugon [tih],5,116,#CD857F
Tiri [cir],-21.667,165.75,#CD857F
Tiwa [lax],26.5,92.5,#37C1A0
Tiwi [tiw],-11.5,131,#6862AB
Tlingit [tli],57,-133,#7D4884
Toba_Batak [bbc],2.5,99.5,#CD857F
Tobati [tti],-2.583,140.867,#625EA1
Tobelo [tlb],0.75,127.75,#BA679A
Tokelauan [tkl],-9.15,-171.78,#CD857F
Tol [jic],14.75,-85,#7D4884
Tolaki [lbw],-4,122.25,#CD857F
Tondano [tdn],1.25,125,#CD857F
Tonga [toi],-17,27,#BC5B5B
Tongan [ton],-21.167,-175.25,#CD857F
Tonkawa [tqw],30,-95,#673CA3
Toqabaqita [mlu],-8.333,160.667,#BA679A
Toratan [rth],1.083,124.833,#CD857F
Torwali [trw],34.25,72,#27974E
Touo [tqu],-8.667,157.5,#625EA1
Trumai [tpy],-13.5,-53,#407778
Tsat [huq],18.25,109.5,#DDD483
Tshangla [tsj],27.07,92,#37C1A0
Tsova-Tush [bbl],42.5,45.5,#407778
Tsuken [xug],26.55,127.94,#45A494
Tsum [ttz],28.51,85.08,#37C1A0
Tübatulabal [tub],36,-118.33,#407778
Tubu [tuq],21,17,#425991
Tugun [tzn],-7.833,126.667,#BA679A
Tujia [tji],27.5,109,#91CC88
Tukang_Besi [khc],-5.5,123.667,#CD857F
Tulu [tcy],12.75,75.333,#27974E
Tümpisa [par],37,-117,#407778
Tunica [tun],32.67,-91,#673CA3
Turkana [tuv],3,35,#BA7D72
Turkish [tur],40,30,#27974E
Turkish_Crimean [crh],45,34.083,#27974E
Turkmen [tuk],40,58,#27974E
Turung [try],27.14,95.75,#91CC88
Tuscarora [tus],36,-77.5,#7D4884
Tutsa [tvt],26.9,95.6,#45A494
Tuva [tyv],52,95,#27974E
Tuvalu [tvl],-10,180,#CD857F
Tz'utujil [tzj],14.5,-91.25,#99415A
Tzeltal_Aguacatenango [tzh],16.42,-92.5,#99415A
Tzotzil [tzc],16.7,-92.7,#99415A
U [xxx-61],22.6,101.7,#DDD483
Uab Meto [aoz],-9.67,124.25,#BA679A
Udihe [ude],47.667,136.25,#407778
Udmurt [udm],56.83,53.19,#27974E
Uduk [udu],8.2,34.4,#BA7D72
Ughele [uge],-8.5,157.33,#CD857F
Uighur [uig],40,80,#27974E
Ukrainian [ukr],50,32,#668D13
Uma [ppk],-1.75,119.917,#CD857F
UMbundu [umb],-11.5,15,#BC5B5B
Una [mtg],-4.667,140,#625EA1
Ura [ryn],28.415,129.59,#45A494
Uradhi [urf],-12,142.25,#53A0A8
Urak_Lawoi [urk],7.25,99.25,#DDD483
Urdu [urd],29,71,#668D13
Uruangnirin [urn],-3.5,132.833,#BA679A
Urubu-Kaapor [urb],-2,-47,#7D4884
Usan [wnu],-4.833,145.333,#625EA1
Usarufa [usa],-6.5,146.083,#425991
Ute [ute],39,-109,#425991
Uzbek [uzn],39,66,#27974E
V'ënen_Taut [nmb],-16.083,167.25,#BA679A
Vai [vai],7.3,-10.55,#BA7D72
Valman [van],-3.25,142.5,#BA679A
Vano [vnk],-11.667,166.75,#BA7D72
Varli [vav],20,73.79,#27974E
Venda [ven],-23.5,30,#BC5B5B
Vietnamese_Hanoi [vie],21.03,105.85,#DDD483
Wahgi [wgi],-6.667,145.583,#625EA1
Waigali [wbk],35.2,70.99,#27974E
Waima'a [wmh],-8.5,126.33,#DDD483
Wakhi [wbl],36.5,72,#27974E
Walapai [yuf],35.5,-113.75,#425991
Walmatjarri [wmt],-20.116,127.461,#6862AB
Wambaya [wmb],-18.667,135.75,#6862AB
Wambule [wme],27.12,86.45,#45A494
Wandamen [wad],-2.67,134.25,#BA679A
Wangkajunga [mpj-4],-19,126,#6862AB
Waorani [auc],-1,-76.5,#625EA1
Wappo [wao],38.5,-122.5,#425991
Warao [wba],9,-62,#625EA1
Waray-Waray [war],12,125,#CD857F
Wardaman [wrr],-15.5,131,#6862AB
Warekena [gae],2,-65,#7D4884
Warembori [wsa],-1.65,137.6,#BA679A
Wari' [pav],-11.5,-65,#CD857F
Warlpiri [wbp],-20,132.333,#6862AB
Warndarang [wnd],-14.417,135.583,#6862AB
Waropen [wrp],-2.333,136.667,#BA679A
Warrgamay [wgy],-18.583,146.167,#53A0A8
Warrnambool [xxx-31],-38.25,142.5,#6862AB
Warumungu [wrm],-19.6,134.2,#53A0A8
Washo [was],39.25,-120,#425991
Waskia [wsk],-4.583,145.917,#625EA1
Wathawurrung [xxx-32],-37.5,144,#6862AB
Watjarri [wbv],-29,117.25,#53A0A8
Wayana [way],1.216667,-54.656667,#425991
Welsh [cym],52.3,-4,#8C542B
Wembawemba [xxx-33],-36,142,#6862AB
West Makian [mqs],0.333,127.417,#BA679A
Wichí [mzh],-22.5,-62.583,#7D4884
Wichita [wic],33.33,-97.33,#7D4884
Wik Mungkan [wim],-13.667,141.833,#53A0A8
Wik Ngathana [wig],-13.917,141.5,#53A0A8
Winnebago [win],43,-89,#7D4884
Wintu [wit-2],41,-122.5,#425991
Wirangu [wiw],-32,134,#53A0A8
Woleaian [woe],7.333,143.833,#CD857F
Wolio [wlo],-5.5,122.75,#CD857F
Wolof [wol],15.25,-16.5,#CD857F
Wooi [wbw],-1.72,135.47,#BA679A
Worora [unp],-15.667,124.667,#6862AB
Wotu [wtw],-2.56,120.76,#CD857F
Wulguru [xxx-35],-19.25,146.5,#53A0A8
Wutun [wuh],35.9,102.1,#37C1A0
Wutung [wut],-2.667,141.167,#BA679A
Wuvulu [wuv],-1.72,142.833,#BA7D72
Wyandot [wya],48.861,-71.357,#7D4884
Xhosa [xho],-33,28,#BC5B5B
Xokleng [xok],-24.3,-50,#407778
Xuwen [nan-7],20.35,110.2,#91CC88
Yabem [jae],-6.75,147.833,#BA679A
Yagaria [ygr-2],-6.417,145.417,#425991
Yagua [yad],-3.5,-72,#7D4884
Yakkha [ybh],27.2,87.25,#425991
Yakut [sah],62,130,#27974E
