name,latitude,longitude,color,family,country
Darma [drd],29.84,80.517,#449092,Tibeto-Burman,India
Dekwana [mch],4.5,-63.5,#632DA2,Cariban,Venezuela
Denaina [tfn],62,-150,#8C2CD0,Dene-Yeniseic,USA
Denjongkha [sip],27.5,88.5,#72E3A4,Tibeto-Burman,India
Dhao [nfa],-10.83,122.75,#D6767F,Austronesian,Indonesia
Dharawal [tbh],-34.5,150.5,#4CDB8A,Pama-Nyungan,Australia
Dharuk [xxx-8],-33.1,151.75,#2F7886,Pama-Nyungan,Australia
Dharumbal [bjy],-22.75,150,#49AF6F,Pama-Nyungan,Australia
Dhimal [dhi],26.6,86.75,#309784,Tibeto-Burman,Nepal
Didinga [did],4.33,33.6,#8F3553,Nilo-Saharan,Sudan
Diegueño [dih],32.67,-116.17,#583BB4,Yuman-Cochimi,USA
Digaru Mishmi [mhu],28.2,96.2,#2E969A,Tibeto-Burman,India
Dimasa [dis],25.33,93,#4E9CBE,Tibeto-Burman,India
Dime [dim],6.25,36.33,#428B7A,Afro-Asiatic,Ethiopia
Dimili [diq],38,40,#378C56,Indo-European,Turkey
Dingri [bod-4],28.567,86.633,#44AAA8,Tibeto-Burman,China
Diola [dyo],13,-16,#DF3D78,Niger-Kongo,Senegal
Diyari [dif],-28,139,#568674,Pama-Nyungan,Australia
Djabugay [dyy],-16.65,145.5,#2AC66F,Pama-Nyungan,Australia
Djambarrpuyngu [djr],-12,135.5,#49B26E,Pama-Nyungan,Australia
Djapu [duj],-12.667,136,#61A864,Pama-Nyungan,Australia
Djaru [ddj],-18.75,128,#46A773,Pama-Nyungan,Australia
Djinang [dji],-12.5,134.833,#3BBA6C,Pama-Nyungan,Australia
Djingili [jig],-17.25,133.833,#636B6E,Mirndi,Australia
Dobel [kvo],-6.083,134.5,#BF5194,Austronesian,Indonesia
Dogon [dbu],14.5,-2.5,#5262A7,Niger-Kongo,Mali
Dohoi [otd],-0.5,113,#DB7467,Austronesian,Indonesia
Dolpo [dre],29,83,#45B0CD,Tibeto-Burman,Nepal
Dom [doa],-6,144.917,#6B7AB8,Trans New Guinea,Papua New Guinea
Dong [doc],26,109,#DFCE88,Tai-Kadai,China
Dongwang [khg],28.25,99.55,#3FC2B3,Tibeto-Burman,China
Doutai [tds],-3.25,138.25,#6ACBA4,Lakes Plains,Indonesia
Doyayo [dow],8.67,13.08,#B9508B,Adamawa-Ubangi,Cameroon
Drehu [dhv],-21,167.083,#E9B056,Austronesian,New Caledonia
Drokpa [bod-5],29.05,84.5,#38B6AF,Tibeto-Burman,China
Dulong [duu],28,98.333,#5394AA,Tibeto-Burman,China
Dumaki [dmk],36.167,74,#1FAF4A,Indo-European,Pakistan
Dumi [dus],27.25,86.67,#385EA4,Tibeto-Burman,Nepal
Dumo [vam],-2.667,141.25,#B986C4,Skou,Papua New Guinea
Dura [drq],28.5,84.25,#35BD76,Tibeto-Burman,Nepal
Dutch [nld],52,7,#6F931C,Indo-European,Netherlands
Dyirbal [dbl],-17.583,145.5,#63AD73,Pama-Nyungan,Australia
Dzongkha [dzo],27.5,89.5,#3396A3,Tibeto-Burman,Bhutan
Edolo [etr],-6.083,142.667,#3F82C6,Trans New Guinea,Papua New Guinea
Ejagham [etu],5.6,9,#AA6B90,Niger-Kongo,Cameroon
Ekagi [ekg],-3.917,136.25,#6757B7,Trans New Guinea,Indonesia
Elopi [dbf],-3.083,137.333,#9CD3C2,Lakes Plains,Indonesia
Embaloh [emb],1.1628,112.37,#EE6671,Austronesian,Indonesia
Embera_Baudo [bdc],5.2,-76.8,#619798,Chocoan,Colombia
Enggano [eno],-5.333,102.25,#DD7C53,Austronesian,Indonesia
English [eng],52,0,#80981D,Indo-European,Britain
Erzgebirgisch [nds-3],50.58,13,#6B7E34,Indo-European,Germany
Estonian [est],59,25,#5A9E23,Uralic,Estonia
Eton [eto],4,11.5,#C7447B,Niger-Kongo,Cameroon
Even [eve],68,130,#347080,Tungusic,Russia
Evenki [evn],56,125,#2A7969,Tungusic,Russia
Ewe [ewe],6,1,#CF7689,Niger-Kongo,Ghana
Eyak [eya],60.5,-145,#5F35A9,Dene-Yeniseic,USA
Fang [fan],0.5,11,#D1397F,Niger-Kongo,Equatorial Guinea
Faroese [fao],61.5,-7,#62B209,Indo-European,Denmark
Farsi [pes],32,54,#70734F,Indo-European,Iran
Fasu [faa],-6.417,143.167,#2F80D0,Trans New Guinea,Papua New Guinea
Fijian [fij],-18,178.333,#CE7F62,Austronesian,Fiji
Finnish [fin],62,25,#589725,Uralic,Finland
Fordata [frd],-7.17,131.5,#D55CA7,Austronesian,Indonesia
Fore [for],-6.75,145.5,#334D9C,Trans New Guinea,Papua New Guinea
French [fra],48,3,#859620,Indo-European,France
Frisian [frs],53.2,5.76,#72A42A,Indo-European,Netherlands
Fula [fuh],11.5,-12.5,#B23A71,Niger-Kongo,Guinea
Fulniô [fun],-8.2,-37.3,#4F45D6,Macro-Je,Brazil
Fur [fvr],13,25,#61A290,Nilo-Saharan,Sudan
Futuna_West [fut-2],-19.667,170.667,#D6BD70,Austronesian,Vanuatu
Fuyuge [fuy],-8.667,147.333,#6AA2B9,Trans New Guinea,Papua New Guinea
Fuzhou [cdo],26.5,119,#9DDF7B,Tibeto-Burman,China
Ga'anda [gqa],10.33,12.58,#B05276,Afro-Asiatic,Nigeria
Gaagudju [gbu],-12.583,132.833,#A04484,Gaagudju,Australia
Gaahmg [tbi-2],11.767,34.35,#B57486,Nilo-Saharan,Sudan
Gabigabi [xxx-11],-25.5,153,#50CF90,Pama-Nyungan,Australia
Gadsup [gaj],-6.333,146,#1E6289,Trans New Guinea,Papua New Guinea
Gahuku [gah],-6.083,145.4,#1441A4,Trans New Guinea,Papua New Guinea
Galela [gbi],2,128.417,#D74AC4,West Papuan,Indonesia
Galo [adi],28,94.75,#5087B0,Tibeto-Burman,India
Galolen [gal],-8.58,126,#C3859C,Austronesian,Timor leste
Gamilaraay [kld-2],-31,149.5,#3AB557,Pama-Nyungan,Australia
Garawa [gbc],-17.25,137.667,#6B9D4E,Wanyi-Garrwa,Australia
Garo [grt],26,90,#539DAC,Tibeto-Burman,India
Gathang [kda],-32,152.5,#41BD82,Pama-Nyungan,Australia
Gayo [gay],4.55,96.95,#E28269,Austronesian,Indonesia
Gbaya-Kara [gya],6,15,#D788A7,Adamawa-Ubangi,Central African Republic
Gbaya-Mbodomo [mdo],4.5,15,#BD8282,Adamawa-Ubangi,Central African Republic
Gbeya_Bossangoa [gbp],6.67,17.5,#B87170,Adamawa-Ubangi,Central African Republic
Gelao [gio],22.92,105.5,#DBD6A6,Tai-Kadai,China
Georgian [kat],41.72,44.78,#448151,Kartvelian,Georgia
German [deu],50,10,#649C1A,Indo-European,Germany
German_Swiss [gsw],46.975,8.405,#69A028,Indo-European,Switzerland
Ghale [ghe],28.25,84.9,#27B599,Tibeto-Burman,Nepal
Gikuyu [kik],-0.75,36.75,#CE4C71,Niger-Kongo,Kenya
Gitksan [git],55.33,-127.75,#98606A,Tsimshian,Canada
Gojri [gju],33,76,#2C9356,Indo-European,India
Golden Palaung [pll],22.97,97.17,#E2CC80,Austroasiatic,Myanmar
Golin [gvf],-6.25,144.833,#616EC6,Trans New Guinea,Papua New Guinea
Gondi [gno],19,84.6,#0CBB66,Dravidian,India
Gooniyandi [gni],-18.5,126.6,#8D687C,Bunuban,Australia
Gorontalo [gor],0.5,122,#D28364,Austronesian,Indonesia
Gorum [pcj],18.5,82.833,#3A5B85,Austroasiatic,India
Grebo [gry],5.3,-8,#9B836C,Niger-Kongo,Liberia
Greek [ell],38,23,#667E05,Indo-European,Greece
Green_Hmong [hnj],28,105,#DFDA75,Hmong-Mien,China
Greenlandic [kal],61,-48,#3B418F,Eskimo-Aleut,Greenland (Denmark)
