Language_name	Family_name	subfamily_name	genus_name	status	color	latitude	longitude
Tonsea	Austronesian			unknown/safe	#FF5E00	1.51393	125.052
Tontemboan	Austronesian			unknown/safe	#FF5E00	1.24813	124.654
To	Atlantic-Congo			extinct	#FF5200	7.25936	15.2819
Tooro	Atlantic-Congo			unknown/safe	#FF5200	0.57291	30.6389
Toposa	Nilotic			unknown/safe	#0045FF	5.15904	34.2159
Topoiyo	Austronesian			unknown/safe	#FF5E00	-2.06702	119.314
Torau	Austronesian			unknown/safe	#FF5E00	-6.19922	155.496
Toraja-Sa'dan	Austronesian			unknown/safe	#FF5E00	-2.97144	119.829
Torá	Chapacuran			extinct	#FFDC00	-6.19532	-61.7416
Toram	Afro-Asiatic			severely endangered	#FF0600	11.2027	19.5254
Tornedalen Finnish	Uralic			unknown/safe	#FF0097	67.2527	23.066
Toro	Atlantic-Congo			unknown/safe	#FF5200	9.09143	8.58194
Torona	Narrow Talodi			extinct	#0052FF	11.1254	30.341
Toro So Dogon	Dogon			unknown/safe	#C3FF00	14.40749	-3.10006
Toro Tegu Dogon	Dogon			unknown/safe	#C3FF00	15.0644	-2.22427
Toromono	Pano-Tacanan			unknown/safe	#1F00FF	-13.3028	-67.3931
Aro	Nuclear Torricelli			unknown/safe	#0019FF	-3.45292	142.622
Torres Strait Creole	Indo-European		Creoles and Pidgins	unknown/safe	#00FF13	-11.066	142.692
Torwali	Indo-European			definitely endangered	#00FF13	35.3101	72.5316
Northern Tosk Albanian	Indo-European			unknown/safe	#00FF13	41	20
Tosu	Sino-Tibetan			unknown/safe	#8B00FF	28.533333	102.083333
Totela	Atlantic-Congo			unknown/safe	#FF5200	-16.9575	24.3751
Toto	Sino-Tibetan			critically endangered	#8B00FF	26.67	88.975
Totoli	Austronesian			vulnerable	#FF5E00	1.14995	120.875
Totontepec Mixe	Mixe-Zoque		Mixe-Zoque	unknown/safe	#0091FF	17.2157	-96.0179
Totoro	Barbacoan			extinct	#FF7E00	2.55149	-76.6379
Totomachapan Zapotec	Otomanguean			unknown/safe	#0600FF	16.8554	-97.0824
Toura (Côte d'Ivoire)	Mande			unknown/safe	#00D0FF	7.76747	-7.33105
Toura (Papua New Guinea)	Austronesian			unknown/safe	#FF5E00	-9.10008	146.988
Towei	Pauwasi			unknown/safe	#2600FF	-3.87428	140.803
Traveller Scottish	Unclassifiable			unknown/safe	#FF009D	55.9829	-4.38593
Traveller Norwegian	Mixed Language			unknown/safe	#008BFF	62.6217	9.48913
Traveller Danish	Mixed Language			extinct	#008BFF	55.5605	12.059
Tregami	Indo-European			severely endangered	#00FF13	34.7548	70.9617
Tremembé	Unattested			extinct	#FF00A4	-3.09359	-40.204
Trieng	Austroasiatic			unknown/safe	#FF5800	15.5002	107.515
Trimuris	Greater Kwerba			unknown/safe	#58FF00	-2.15863	138.027
Tringgus-Sembaan Bidayuh	Austronesian			unknown/safe	#FF5E00	1.4313	109.95
Tring	Austronesian			unknown/safe	#FF5E00	1.335	110.036
Trinitario	Arawakan			definitely endangered	#FF3900	-15.3331	-65.4096
Trinidadian Creole English	Indo-European			unknown/safe	#00FF13	10.4208	-61.4171
Trió	Cariban			vulnerable	#FFD000	2.53616	-55.7599
Truká	Unattested			extinct	#FF00A4	-8.49999	-39
Tsaangi	Atlantic-Congo			unknown/safe	#FF5200	-2.29245	12.7581
Tsakonian	Indo-European			critically endangered	#00FF13	37.1405	22.7341
Tsakhur	Nakh-Daghestanian			definitely endangered	#0065FF	41.5916	46.8858
