Language_name	Family_name	subfamily_name	genus_name	status	dot_color	label_color	latitude	longitude
Alekano	Nuclear Trans New Guinea		Eastern Highlands	unknown/safe	#A9A9A9	#A9A9A9	-6.03901	145.387
Aleut	Eskimo-Aleut		Aleut	critically endangered	#FF6500	#FF6500	52.1228	-174.29
Algerian Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	36.4762	3.5462
Algerian Arabic	Afro-Asiatic			unknown/safe	#A9A9A9	#A9A9A9	35.4208	3.23033
Algerian Saharan Arabic	Afro-Asiatic			unknown/safe	#A9A9A9	#A9A9A9	20.8884	4.80626
Algonquin	Algic		Algonquian	severely endangered	#FFCB00	#FFCB00	47.3876	-77.5258
Ali	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	4.60014	18.0352
Allar	Dravidian			unknown/safe	#A9A9A9	#A9A9A9	11.0803	76.6593
Alladian	Atlantic-Congo		Kwa	unknown/safe	#A9A9A9	#A9A9A9	5.22371	-4.42647
Allentiac	Huarpean			extinct	#FF0000	#FF0000	-33.480938	-68.096924
Alngith	Pama-Nyungan			extinct	#FF0000	#FF0000	-12.5324	141.938
AloÃ¡pam Zapotec	Otomanguean			unknown/safe	#A9A9A9	#A9A9A9	17.4137	-96.7438
Alo Phola	Sino-Tibetan			vulnerable	#CBCB65	#CBCB65	23.59	101.933
Alorese	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-8.20382	124.264
Alsea-Yaquina				extinct	#FF0000	#FF0000	44.408	-123.94
Alugu	Sino-Tibetan			unknown/safe	#A9A9A9	#A9A9A9	23	103
Alu Kurumba	Dravidian			unknown/safe	#A9A9A9	#A9A9A9	11.3456	76.7995
Alumu-Tesu	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	9.01513	8.55956
Alune	Austronesian		Central Malayo-Polynesian	vulnerable	#CBCB65	#CBCB65	-3.11477	128.394
Aluo	Sino-Tibetan			definitely endangered	#EDED21	#EDED21	26	102
Alur	Nilotic			unknown/safe	#A9A9A9	#A9A9A9	2.36213	31.0016
Alutor	Chukotko-Kamchatkan		Northern Chukotko-Kamchatkan	severely endangered	#FFCB00	#FFCB00	60.3844	165.653
Alviri-Vidari	Indo-European			definitely endangered	#EDED21	#EDED21	35.0075	50.3794
Alyawarr	Pama-Nyungan			unknown/safe	#A9A9A9	#A9A9A9	-21.0427	136.835
Amahai	Austronesian			critically endangered	#FF6500	#FF6500	-3.32028	128.939
Amahuaca	Pano-Tacanan		Panoan	severely endangered	#FFCB00	#FFCB00	-10.2012	-72.3208
Amaimon	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-5.18742	145.368
Amal	Sepik			unknown/safe	#A9A9A9	#A9A9A9	-4.04517	141.995
Amanab	Border		Border	unknown/safe	#A9A9A9	#A9A9A9	-3.51516	141.178
AmanayÃ©	Tupian			extinct	#FF0000	#FF0000	-3.79772	-48.6613
Ama (Papua New Guinea)	Left May		Left May	unknown/safe	#A9A9A9	#A9A9A9	-4.20192	141.658
Amurdak	Iwaidjan Proper			unknown/safe	#A9A9A9	#A9A9A9	-11.9876	132.878
Amara	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#A9A9A9	#A9A9A9	-5.55778	148.68
Amarasi	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-10.21751	123.96373
Amarakaeri	Harakmbut			definitely endangered	#EDED21	#EDED21	-12.4931	-70.5533
Ama (Sudan)	Nyimang			unknown/safe	#A9A9A9	#A9A9A9	12.0993	29.4332
AmatlÃ¡n Zapotec	Otomanguean			unknown/safe	#A9A9A9	#A9A9A9	16.2707	-96.4003
Amba (Uganda)	Atlantic-Congo			vulnerable	#CBCB65	#CBCB65	0.81206	30.0014
Ambai	Austronesian	Eastern Malayo-Polynesian	South Halmahera - West New Guinea	unknown/safe	#A9A9A9	#A9A9A9	-1.88126	136.526
Amba (Solomon Islands)	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-11.2958	166.498
Ambala Ayta	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	14.8156	120.283
Ambakich	Lower Sepik-Ramu			unknown/safe	#A9A9A9	#A9A9A9	-4.23181	144.285
Ambele	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.94043	9.62028
Ambelau	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-3.85919	127.196
Amblong	Austronesian			definitely endangered	#EDED21	#EDED21	-15.5169	166.95
Ambo	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.07637	10.7798
Ambonese Malay	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-3.71342	128.184
Ambo-Pasco Quechua	Quechuan			severely endangered	#FFCB00	#FFCB00	-10.5138	-76.1135
Ambrak	Nuclear Torricelli			unknown/safe	#A9A9A9	#A9A9A9	-3.61	142.56
Ambulas	Ndu		Middle Sepik	unknown/safe	#A9A9A9	#A9A9A9	-3.7801	143.059
Amdang	Furan			unknown/safe	#A9A9A9	#A9A9A9	14.7528	20.8912
Amdo Tibetan	Sino-Tibetan	Tibeto-Burman	Bodic	unknown/safe	#A9A9A9	#A9A9A9	34.5177	100.485
Amele	Nuclear Trans New Guinea		Madang	unknown/safe	#A9A9A9	#A9A9A9	-5.29126	145.687
American Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	33.8117	-81.6121
Amganad Ifugao	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	16.9016	121.042
Amharic	Afro-Asiatic		Semitic	unknown/safe	#A9A9A9	#A9A9A9	11.708182	39.543456
Ami	Western Daly			unknown/safe	#A9A9A9	#A9A9A9	-13.5573	130.04
Amis	Austronesian			vulnerable	#CBCB65	#CBCB65	23.0917	121.348
Mol	Nuclear Torricelli			unknown/safe	#A9A9A9	#A9A9A9	-3.46843	142.532
Amoltepec Mixtec	Otomanguean			unknown/safe	#A9A9A9	#A9A9A9	16.6521	-97.4518
Amo	Atlantic-Congo	Benue-Congo	Kainji	unknown/safe	#A9A9A9	#A9A9A9	10.3229	8.65405
Ampari Dogon	Dogon			unknown/safe	#A9A9A9	#A9A9A9	14.15	-3.55
Ampanang	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-0.79259	116.349
Amri Karbi	Sino-Tibetan			unknown/safe	#A9A9A9	#A9A9A9	26.024	91.482
Amto	Amto-Musan			unknown/safe	#A9A9A9	#A9A9A9	-4.12165	141.339
Amundava	Tupian			vulnerable	#CBCB65	#CBCB65	-9.04023	-62.3064
Anaang	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	4.94832	7.57969
Anakalangu	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-9.63425	119.605
Anal	Sino-Tibetan			vulnerable	#CBCB65	#CBCB65	24.0506	94.2806
Anam	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-4.68869	145.051
Anamuxra	Nuclear Trans New Guinea		Madang	unknown/safe	#A9A9A9	#A9A9A9	-4.63762	144.991
AnambÃ©	Tupian			critically endangered	#FF6500	#FF6500	-2.71119	-49.303
Anasi	Bookkeeping			unknown/safe	#A9A9A9	#A9A9A9	-1.73908	137.716
Ana Tinga Dogon	Dogon			unknown/safe	#A9A9A9	#A9A9A9	14.6669	-3.1168
Ancient Greek	Indo-European			extinct	#FF0000	#FF0000	39.8155	21.9129
