glottocode,name,isocodes,level,macroarea,latitude,longitude
muru1266,Muruwari,zmu,language,Australia,-28.9618,146.546
musa1265,Musar,mmi,language,Papunesia,-4.70258,145.413
musa1263,Musasa,smm,language,Eurasia,26.7329,87.5304
muse1242,Musey,mse,language,Africa,9.81612,15.4115
musg1254,Musgu,mug,language,Africa,10.8439,15.1065
mush1238,Mushungulu,xma,language,Africa,0.00689,42.6626
musi1241,Musi,mui,language,Papunesia,-2.93987,103.945
musk1256,Muskum,mje,language,Africa,11.5697,15.4113
musl1236,Muslim Tat,ttt,language,Eurasia,41.425062,46.645589
muso1238,Musom,msu,language,Papunesia,-6.53817,146.93
muss1246,Mussau-Emira,emi,language,Papunesia,-1.44105,149.624
muth1236,Muthuvan,muv,language,Eurasia,10.3524,76.7328
mutu1242,Mutu,tuc,language,Papunesia,-5.79405,148.014
muya1239,Muya,mvm,language,Eurasia,29.8226,102.205
muya1243,Muyang,muy,language,Africa,10.86047,14.21246
muyu1244,Muyuw,myw,language,Papunesia,-9.195,152.731
muzi1235,Muzi,ymz,language,Eurasia,23.086,103.464
mvan1238,Mvano,mcj,language,Africa,6.75724,11.1843
mvub1239,Mvuba,mxh,language,Africa,0.7398,29.6656
mwag1236,Mwaghavul,sur,language,Africa,9.47205,8.96522
mwal1237,Mwali Comorian,wlc,language,Africa,-12.3164,43.741
mwan1250,Mwan,moa,language,Africa,7.87533,-5.94577
mwan1247,Mwani,wmw,language,Africa,-12.5821,40.4601
mwat1237,Mwatebu,mwa,language,Papunesia,-10.0271,151.066
mwer1248,Mwera (Chimwera),mwe,language,Africa,-9.75639,38.8762
mwer1247,Mwera (Nyasa),mjh,language,Africa,-11.3304,34.8959
mwim1241,Mwimbi-Muthambi,mws,language,Africa,-0.11968,37.5939
motl1237,Mwotlap,mlv,language,Papunesia,-13.6535,167.673
myen1241,Myene,mye,language,Africa,-1.48741,9.50247
mzie1235,Mzieme Naga,nme,language,Eurasia,25.4779,93.71
naaa1245,Na,nbt,language,Eurasia,27.791,96.163
naab1241,Naaba,nao,language,Eurasia,27.6926,87.3409
malf1237,Na'ahai,mlx,language,Papunesia,-16.5499,167.509
naas1242,Naasioi,nas,language,Papunesia,-6.46022,155.632
naba1253,Naba,mne,language,Africa,12.7868,18.0777
naba1256,Nabak,naf,language,Papunesia,-6.42709,146.966
kuri1260,Nabi,nbn,language,Papunesia,-2.80683,134.098
nabi1239,Nabi-Metan,mty,language,Papunesia,-3.52828,142.329
nabi1240,Nabit,,language,Africa,10.857778,-0.671111
nach1240,Nachering,ncd,language,Eurasia,27.4202,86.7001
nade1244,Nadëb,mbj,language,South America,-1.24449,-66.3068
nafa1258,Nafaanra,nfr,language,Africa,8.00522,-2.51001
nafi1237,Nafi,srf,language,Papunesia,-6.43306,146.815
nafr1241,Nafri,nxx,language,Papunesia,-2.65036,140.727
nafu1238,Nafusi,jbn,language,Africa,33.4398,9.83329
naga1394,Naga Pidgin,nag,language,Eurasia,25.2508,93.4438
naga1399,Nagarchal,nbg,language,Eurasia,25.5399,75.8519
nage1237,Nage,nxe,language,Papunesia,-8.70513,121.31
nagu1244,Nagumi,ngv,language,Africa,8.7162,13.4264
naha1261,Nahali-Baglani,nlx,language,Eurasia,21.43,74.827
naha1262,Nahari,nhh,language,Eurasia,20.4118,81.97747
sout2857,Nahavaq,sns,language,Papunesia,-16.5116,167.477
sout2973,"Nahuatl, Southeastern Puebla",npl,language,North America,18.39688,-97.12655
naii1241,Nai,bio,language,Papunesia,-3.73034,141.273
bond1248,Najanga-Kindige,dbu,language,Africa,14.9066,-3.32636
najd1235,Najdi Arabic,ars,language,Eurasia,30.3371,42.1773
